16:43:51.042	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1859936405
16:43:51.044	0:0:0:0:0:0:0:1:57250	admin	200		1.78 ms
16:43:52.237	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/var/
16:43:52.275	0:0:0:0:0:0:0:1:57250	admin	200		37.98 ms
16:43:52.292	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/var/._principals
16:43:52.346	0:0:0:0:0:0:0:1:57250	admin	200		54.48 ms
16:43:52.353	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:52.355	0:0:0:0:0:0:0:1:57250	admin	200		1.64 ms
16:43:52.358	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:52.360	0:0:0:0:0:0:0:1:57250	admin	200		1.84 ms
16:43:52.362	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/var/.DS_Store
16:43:52.367	0:0:0:0:0:0:0:1:57250	admin	200		5.56 ms
16:43:53.367	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/._init
16:43:53.374	0:0:0:0:0:0:0:1:57250	admin	200		6.93 ms
16:43:53.378	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/init/
16:43:53.393	0:0:0:0:0:0:0:1:57250	admin	200		14.6 ms
16:43:53.397	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/init/._jobs.xml
16:43:53.402	0:0:0:0:0:0:0:1:57250	admin	200		5.42 ms
16:43:53.416	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/init/._run.xml
16:43:53.424	0:0:0:0:0:0:0:1:57250	admin	200		8.62 ms
16:43:53.431	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:53.432	0:0:0:0:0:0:0:1:57250	admin	200		1.56 ms
16:43:53.436	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:53.438	0:0:0:0:0:0:0:1:57250	admin	200		1.54 ms
16:43:53.440	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/init/.DS_Store
16:43:53.445	0:0:0:0:0:0:0:1:57250	admin	200		4.81 ms
16:43:54.282	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/.DS_Store
16:43:54.292	0:0:0:0:0:0:0:1:57250	admin	200		10.01 ms
16:43:54.298	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:54.301	0:0:0:0:0:0:0:1:57250	admin	200		3.76 ms
16:43:54.312	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:54.314	0:0:0:0:0:0:0:1:57250	admin	200		2.19 ms
