07:26:27.041	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:56:43.188	127.0.0.1:63782	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.class")	0.19 ms
20:56:43.229	127.0.0.1:63782	admin	OK	EXEC[0]	35.79 ms
20:56:43.283	127.0.0.1:63783	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/package.json")	0.15 ms
20:56:43.319	127.0.0.1:63783	admin	OK	EXEC[0]	30.6 ms
20:56:43.383	127.0.0.1:63784	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.js")	0.15 ms
20:56:43.418	127.0.0.1:63784	admin	OK	EXEC[0]	29.99 ms
20:56:43.469	127.0.0.1:63785	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.json")	0.15 ms
20:56:43.500	127.0.0.1:63785	admin	OK	EXEC[0]	26.18 ms
20:56:43.548	127.0.0.1:63786	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.class")	0.16 ms
20:56:43.580	127.0.0.1:63786	admin	OK	EXEC[0]	27.19 ms
